Ticket,Time,Direction,Entry,SL,TP1,Result,PnL,Regime
S-479,2023-05-04 12:45:00,SHORT,2037.84,2037.84,1994.42,EXPIRED,0.0,SIDEWAY_ADV
S-480,2023-05-08 10:30:00,SHORT,2021.61,2067.21,1990.8,EXPIRED,0.0,SIDEWAY_ADV
S-481,2023-05-08 22:50:00,SHORT,2020.93,2067.21,1990.63,EXPIRED,0.0,SIDEWAY_ADV
S-482,2023-05-09 07:30:00,SHORT,2026.02,2067.22,1991.9,EXPIRED,0.0,SIDEWAY_ADV
S-483,2023-05-10 05:30:00,LONG,2031.51,1999.1,2013.0,WIN,57.12,SIDEWAY_ADV
S-484,2023-05-10 07:00:00,SHORT,2031.32,2067.22,1993.23,EXPIRED,0.0,SIDEWAY_ADV
S-485,2023-05-12 15:35:00,SHORT,2010.37,2048.58,1986.69,EXPIRED,0.0,SIDEWAY_ADV
S-486,2023-05-15 04:30:00,SHORT,2016.06,2048.58,1988.11,WIN,85.93,SIDEWAY_ADV
S-487,2023-05-15 05:45:00,LONG,2013.43,2000.49,1994.51,WIN,146.17,SIDEWAY_ADV
S-488,2023-05-16 09:15:00,LONG,2008.11,2000.49,2018.14,LOSS,-100.0,SIDEWAY_ADV
S-489,2023-05-16 09:20:00,LONG,2006.16,2006.16,2017.65,LOSS,-100.0,SIDEWAY_ADV
S-490,2023-05-17 07:00:00,LONG,1990.92,1984.79,2013.86,LOSS,-100.0,SIDEWAY_ADV
S-491,2023-05-17 08:30:00,LONG,1988.67,1984.79,2013.3,LOSS,-100.0,SIDEWAY_ADV
S-492,2023-05-18 08:10:00,LONG,1979.13,1974.58,2010.05,LOSS,-100.0,SIDEWAY_ADV
S-493,2023-05-19 21:55:00,LONG,1976.96,1951.58,2012.4,EXPIRED,0.0,SIDEWAY_ADV
S-494,2023-05-19 23:50:00,SHORT,1977.55,2022.61,1979.5,WIN,4.32,SIDEWAY_ADV
S-495,2023-05-22 01:10:00,SHORT,1979.68,2021.82,1980.03,WIN,0.83,SIDEWAY_ADV
S-496,2023-05-22 01:30:00,SHORT,1980.81,2021.82,1980.31,WIN,1.22,SIDEWAY_ADV
S-497,2023-05-22 12:30:00,SHORT,1981.81,2018.56,1976.98,WIN,13.14,SIDEWAY_ADV
S-498,2023-05-23 07:55:00,SHORT,1963.29,1993.43,1997.41,WIN,113.2,SIDEWAY_ADV
S-499,2023-05-23 19:40:00,SHORT,1973.77,1989.29,2000.03,WIN,169.16,SIDEWAY_ADV
S-500,2023-05-24 22:50:00,LONG,1959.57,1951.59,2008.05,LOSS,-100.0,SIDEWAY_ADV
S-501,2023-05-26 05:35:00,SHORT,1948.01,1985.68,1951.61,WIN,9.56,SIDEWAY_ADV
S-502,2023-05-29 21:05:00,SHORT,1943.24,1985.68,1949.48,WIN,14.71,SIDEWAY_ADV
S-503,2023-05-30 08:50:00,LONG,1932.39,1932.39,1972.35,LOSS,-100.0,SIDEWAY_ADV
S-504,2023-05-30 11:40:00,SHORT,1946.13,1985.68,1950.5,WIN,11.05,SIDEWAY_ADV
S-505,2023-05-30 23:45:00,LONG,1959.76,1931.66,1979.19,WIN,69.15,SIDEWAY_ADV
S-506,2023-05-31 08:05:00,SHORT,1960.38,1960.38,1954.06,LOSS,-100.0,SIDEWAY_ADV
