Ticket,Time,Direction,Entry,SL,TP1,Result,PnL,H1_Trend,Regime
2587,2024-06-07 12:25:00,N/A,N/A,N/A,N/A,WIN,37.65,UNKNOWN,TREND
2592,2024-06-07 12:30:00,SHORT,2340.73,2348.1385714285716,2329.6171428571424,OPEN,0,BEARISH,TREND
2590,2024-06-07 12:35:00,N/A,N/A,N/A,N/A,WIN,13.32,UNKNOWN,TREND
2595,2024-06-07 12:45:00,SHORT,2338.53,2345.024285714286,2328.7885714285712,OPEN,0,BEARISH,TREND
2592,2024-06-07 12:50:00,N/A,N/A,N/A,N/A,WIN,49.5,UNKNOWN,TREND
2598,2024-06-07 13:00:00,SHORT,2335.71,2341.3728571428574,2327.215714285714,OPEN,0,BEARISH,TREND
2595,2024-06-07 13:05:00,N/A,N/A,N/A,N/A,WIN,72.19,UNKNOWN,TREND
2605,2024-06-07 13:35:00,SHORT,2334.78,2339.1185714285716,2328.272142857143,OPEN,0,BEARISH,TREND
2598,2024-06-07 13:40:00,N/A,N/A,N/A,N/A,WIN,27.62,UNKNOWN,TREND
2608,2024-06-07 13:50:00,SHORT,2334.27,2338.4171428571426,2328.049285714286,OPEN,0,BEARISH,TREND
2605,2024-06-07 13:55:00,N/A,N/A,N/A,N/A,WIN,20.04,UNKNOWN,TREND
2610,2024-06-07 14:00:00,SHORT,2332.66,2336.6671428571426,2326.6492857142857,OPEN,0,BEARISH,TREND
2608,2024-06-07 14:05:00,N/A,N/A,N/A,N/A,WIN,66.33,UNKNOWN,TREND
2610,2024-06-07 14:20:00,N/A,N/A,N/A,N/A,LOSS,-81.08,UNKNOWN,TREND
2614,2024-06-07 14:20:00,SHORT,2334.55,2338.847142857143,2328.104285714286,OPEN,0,BEARISH,TREND
2614,2024-06-07 14:25:00,N/A,N/A,N/A,N/A,LOSS,-2.93,UNKNOWN,TREND
2618,2024-06-07 14:40:00,SHORT,2334.97,2338.955714285714,2328.9914285714285,OPEN,0,BEARISH,TREND
2618,2024-06-07 14:50:00,N/A,N/A,N/A,N/A,LOSS,-30.89,UNKNOWN,SIDEWAY
2620,2024-06-07 14:50:00,SHORT,2336.05,2340.2385714285715,2329.767142857143,OPEN,0,BEARISH,TREND
2620,2024-06-07 14:55:00,N/A,N/A,N/A,N/A,LOSS,-15.18,UNKNOWN,SIDEWAY
2625,2024-06-07 15:15:00,SHORT,2335.65,2340.817142857143,2327.8992857142857,OPEN,0,BEARISH,TREND
2625,2024-06-07 15:30:00,SHORT,2335.65,2340.817142857143,2327.8992857142857,WIN,50.38,BEARISH,TREND
2625,2024-06-07 15:35:00,SHORT,2335.65,2335.65,2327.8992857142857,LOSS,0,BEARISH,TREND
2625,2024-06-07 15:35:00,SHORT,2335.65,2335.65,2327.8992857142857,WIN,100.76,BEARISH,TREND
2629,2024-06-07 15:35:00,SHORT,2321.8,2330.614285714286,2308.5785714285716,OPEN,0,BEARISH,TREND
2625,2024-06-07 15:40:00,N/A,N/A,N/A,N/A,WIN,123.26,UNKNOWN,TREND
2630,2024-06-07 15:40:00,SHORT,2319.57,2328.827142857143,2305.6842857142856,OPEN,0,BEARISH,TREND
2631,2024-06-07 15:45:00,SHORT,2316.65,2326.434285714286,2301.973571428571,OPEN,0,BEARISH,TREND
2629,2024-06-07 15:50:00,N/A,N/A,N/A,N/A,WIN,100.43,UNKNOWN,TREND
2630,2024-06-07 15:50:00,N/A,N/A,N/A,N/A,WIN,56.06,UNKNOWN,TREND
2631,2024-06-07 16:00:00,N/A,N/A,N/A,N/A,LOSS,-154.21,UNKNOWN,TREND
2636,2024-06-07 16:10:00,SHORT,2319.78,2330.5185714285717,2303.6721428571427,OPEN,0,BEARISH,TREND
2636,2024-06-07 16:15:00,N/A,N/A,N/A,N/A,LOSS,-63.38,UNKNOWN,TREND
2637,2024-06-07 16:15:00,SHORT,2325.49,2336.805714285714,2308.516428571428,OPEN,0,BEARISH,TREND
2637,2024-06-07 16:20:00,N/A,N/A,N/A,N/A,LOSS,-4.52,UNKNOWN,TREND
2639,2024-06-07 16:25:00,SHORT,2325.41,2336.752857142857,2308.3957142857143,OPEN,0,BEARISH,TREND
2641,2024-06-07 16:35:00,SHORT,2320.96,2332.632857142857,2303.450714285714,OPEN,0,BEARISH,TREND
2639,2024-06-07 16:40:00,N/A,N/A,N/A,N/A,WIN,23.14,UNKNOWN,TREND
2642,2024-06-07 16:40:00,SHORT,2316.89,2326.404285714286,2302.618571428571,OPEN,0,BEARISH,TREND
2641,2024-06-07 16:45:00,N/A,N/A,N/A,N/A,WIN,30.53,UNKNOWN,TREND
2643,2024-06-07 16:45:00,SHORT,2312.44,2321.7014285714286,2298.547857142857,OPEN,0,BEARISH,TREND
2642,2024-06-07 16:50:00,N/A,N/A,N/A,N/A,WIN,41.38,UNKNOWN,TREND
2644,2024-06-07 16:50:00,SHORT,2308.23,2317.592857142857,2294.1857142857143,OPEN,0,BEARISH,TREND
2643,2024-06-07 16:55:00,N/A,N/A,N/A,N/A,WIN,80.83,UNKNOWN,TREND
2644,2024-06-07 17:15:00,N/A,N/A,N/A,N/A,LOSS,-141.15,UNKNOWN,TREND
2652,2024-06-07 17:30:00,SHORT,2317.14,2326.4328571428573,2303.200714285714,OPEN,0,BEARISH,TREND
2652,2024-06-07 17:35:00,N/A,N/A,N/A,N/A,LOSS,-13.76,UNKNOWN,SIDEWAY
2655,2024-06-07 17:45:00,SHORT,2314.57,2323.567142857143,2301.074285714286,OPEN,0,BEARISH,TREND
2656,2024-06-07 17:50:00,SHORT,2311.79,2320.574285714286,2298.6135714285715,OPEN,0,BEARISH,TREND
2655,2024-06-07 17:55:00,N/A,N/A,N/A,N/A,WIN,18.07,UNKNOWN,TREND
2656,2024-06-07 18:10:00,N/A,N/A,N/A,N/A,LOSS,-33.03,UNKNOWN,TREND
2662,2024-06-07 18:20:00,SHORT,2312.92,2319.7514285714287,2302.672857142857,OPEN,0,BEARISH,TREND
2664,2024-06-07 18:30:00,SHORT,2308.15,2314.5814285714287,2298.5028571428575,OPEN,0,BEARISH,TREND
2662,2024-06-07 18:35:00,N/A,N/A,N/A,N/A,WIN,41.02,UNKNOWN,SIDEWAY
2668,2024-06-07 18:50:00,SHORT,2305.52,2311.51,2296.535,OPEN,0,BEARISH,TREND
2664,2024-06-07 18:55:00,N/A,N/A,N/A,N/A,WIN,35.77,UNKNOWN,TREND
2669,2024-06-07 18:55:00,SHORT,2304.92,2310.744285714286,2296.183571428571,OPEN,0,BEARISH,TREND
2668,2024-06-07 19:00:00,N/A,N/A,N/A,N/A,WIN,17.82,UNKNOWN,TREND
2669,2024-06-07 19:10:00,N/A,N/A,N/A,N/A,LOSS,-104.65,UNKNOWN,TREND
2677,2024-06-07 19:35:00,SHORT,2310.38,2315.7814285714285,2302.277857142857,OPEN,0,BEARISH,TREND
2677,2024-06-07 19:40:00,N/A,N/A,N/A,N/A,LOSS,-25.51,UNKNOWN,SIDEWAY
2681,2024-06-07 19:55:00,SHORT,2311.67,2317.2914285714287,2303.237857142857,OPEN,0,BEARISH,TREND
2682,2024-06-07 20:00:00,SHORT,2309.45,2314.988571428571,2301.1421428571425,OPEN,0,BEARISH,TREND
2681,2024-06-07 20:05:00,N/A,N/A,N/A,N/A,WIN,23.09,UNKNOWN,SIDEWAY
2682,2024-06-07 20:10:00,N/A,N/A,N/A,N/A,LOSS,-17.54,UNKNOWN,TREND
